product_id,commercial_name,raw_product_name,product_category,fabric_structure,material_family,source_type,yarn_count,width_inches,gsm,color,unit,confidence_score,notes
P00078,"30CM Single Jersey 34.5""",30CMSJ/345,knitted_fabric,single_jersey,cotton,unknown,30.0,34.5,,,kg,0.7,
P00079,"ไมโครหน้าเรียบ หน้าเรียบ 72""",ไมโครหน้าเรียบ,traded_textile,unknown,unknown,unknown,,72.0,,,kg,0.7,
P00080,"30SM Single Jersey 36""",30SMSJ/36,knitted_fabric,single_jersey,cotton,unknown,30.0,36.0,,,kg,0.7,
P00081,"30CM Single Jersey 18.5""",30CMSJ/18.5,knitted_fabric,single_jersey,cotton,unknown,30.0,18.5,,,kg,0.7,
P00082,"CM Rib 32.5""",CM30RB2/325,knitted_fabric,rib,cotton,unknown,,32.5,,,kg,0.7,
P00083,"THERMAL THERMAL 72""",THERMAL,traded_textile,unknown,unknown,unknown,,72.0,,,kg,0.7,
P00084,"20TK Single Jersey 36""",20TKSJ/36,knitted_fabric,single_jersey,polyester,unknown,20.0,36.0,,,kg,0.7,
P00085,"30CM Single Jersey 34.5""",30CMSJ/345*,knitted_fabric,single_jersey,cotton,unknown,30.0,34.5,,,kg,0.7,
P00086,"30CM Single Jersey 24.5""",30CMSJ/24.5,knitted_fabric,single_jersey,cotton,unknown,30.0,24.5,,,kg,0.7,
P00087,"45TC80 Interlock 41""",45TC80/20IT/41,knitted_fabric,interlock,tc,unknown,45.0,41.0,,,kg,0.7,
P00088,"34TK Rib 29""",34TKRB/29,knitted_fabric,rib,polyester,unknown,34.0,29.0,,,kg,0.7,
P00089,"30CM Single Jersey 34""",30CMSJX2/34,knitted_fabric,single_jersey,cotton,unknown,30.0,34.0,,,kg,0.7,
